# rule	width	height	path	sum	nonzero	hash
n	64	16	-6.940318,4.425289 17.971111,4.767798 14.575848,-1.411443 31.222124,3.234508 46.298845,-1.735079 44.928806,4.492778 69.645773,3.643962 51.061969,7.805531 70.940318,11.574711 46.028889,11.232202 49.424152,17.411443 32.777876,12.765492 17.701155,17.735079 19.071194,11.507222 -5.645773,12.356038 12.938031,8.194469	147208	684	9034b13aeadf9d19
n	32	32	11.007996,6.214365 23.178414,6.214365 23.178414,10.245051 11.007996,10.245051;14.050600,7.222036 20.135809,7.222036 20.135809,9.237379 14.050600,9.237379	12526	65	6dbc437d7aa804b7
e	48	33	4.383606,7.057849 4.470411,7.057849 4.770411,25.942151 4.383606,25.942151	1137	19	90ae906f4117f1c2
n	17	41	2.797179,29.137412 3.706412,32.827842 5.776224,25.076657 5.407975,18.389064 11.836142,2.222161 -1.980929,21.693101 10.247405,3.525213	6875	87	417542d5b9fc5df2
n	64	16	69.611302,-9.922576 114.477145,0.699900 -50.515614,42.421213 122.361404,-38.496435	164007	673	266d667f57b919a4
e	32	32	-1.263835,-1.845149 31.197793,11.869597 1.505768,8.966154 26.551517,17.937704 26.017020,17.519888 3.237069,26.483762 18.393928,1.134540 1.380494,17.255865 31.219278,32.578627 12.072661,7.479382	64479	398	2cab1bb8d62a1bea
n	48	33	25.805128,24.133548 45.483420,15.457023 34.562640,7.011421 12.930417,9.873382 8.986901,1.542996 23.943633,10.029004 13.211033,31.293925 4.473319,26.735365 14.584803,17.096688 10.207233,29.267611 21.667372,10.522418	94578	478	b4e38b365cdea805
n	17	41	4.939882,42.624588 2.264557,32.112173 11.413995,13.865598 18.510271,28.318454;11.721119,42.488286 1.479706,8.809895 3.600717,13.670257 9.915011,13.521728;10.112747,27.156391 18.963351,16.216130 16.975912,15.143195 10.693946,16.942581	65541	320	9377341a76f00a8e
e	64	16	64.883287,0.810951 46.720091,6.756567 75.585698,8.729573 45.925636,9.722929 60.756198,16.220822 36.973733,11.680023 29.081707,18.896424 25.108284,11.481409 -0.883287,15.189049 17.279909,9.243433 -11.585698,7.270427 18.074364,6.277071 3.243802,-0.220822 27.026267,4.319977 34.918293,-2.896424 38.891716,4.518591	125667	642	e0251d254bc9cfde
n	32	32	10.114396,13.592761 20.497620,13.592761 20.497620,16.259033 10.114396,16.259033;12.710202,14.259329 17.901814,14.259329 17.901814,15.592465 12.710202,15.592465	7076	44	894569847127b0e3
n	48	33	44.511597,19.809534 44.659759,19.809534 44.959759,13.190466 44.511597,13.190466	502	7	a4af49cd2b514b35
e	17	41	18.809176,11.015437 13.286535,21.948132 2.897157,9.531887 6.874262,30.356108 15.045868,22.127982 9.362108,20.600638 10.520460,19.766879	27080	153	e9e649a54ba3b047
n	64	16	-122.367864,49.330088 -161.805444,48.563972 167.210943,40.281568	0	0	c8a6259ce7a13383
n	32	32	0.999313,14.817100 27.411415,29.392250 29.581829,32.629199 30.015327,4.933851 -0.955327,24.015012 24.616042,6.833211	90113	424	b690eb45cf824522
e	48	33	47.553830,32.290198 31.813143,15.877420 45.192740,15.431161 35.129382,24.523393 41.827808,21.777801 34.160997,12.352486 35.565341,28.740221 7.872084,1.129021 37.178571,-1.118395	134644	634	60c8a4ad32fb6541
n	17	41	16.454891,15.486591 11.818940,39.691329 -1.523017,9.072904;1.873914,32.236160 -1.512592,13.722153 0.099062,2.301726;11.303622,6.804641 8.022673,39.136217 9.194251,19.606887	64014	326	fdbc34c0a1d0d685
n	64	16	-1.687380,9.047290 12.082807,6.321793 7.721044,2.068511 24.830134,3.060683 35.412016,-0.443736 42.976516,3.518979 60.533671,3.402322 52.857358,7.351576 64.168890,10.710525 47.032184,11.672449 43.580278,15.977648 29.887469,13.227893 14.271481,15.237438 14.333533,10.846627	138051	630	f02252b902d48f20
e	32	32	2.015119,0.547675 4.246421,0.547675 4.246421,16.536927 2.015119,16.536927	9132	51	14ab89a9cc70e677
n	48	33	35.959941,32.015693 36.087410,32.015693 36.387410,0.984307 35.959941,0.984307	2195	63	a4ad472e66f6a91c
n	17	41	10.741444,14.222794 5.846577,11.627412 17.116880,2.307169 10.759374,30.541206 -0.470012,35.936014 16.735883,-1.122347	49878	253	42c15f551fa8bc45
e	64	16	251.736359,-8.781506 -33.482057,8.124976 -97.965856,22.736353 94.762073,27.408573 -157.815745,53.586027	191955	786	67d83235a53a7e40
