# width	height	path	line width	join	cap	miter	closed	dashes	phase	sum	nonzero	hash
56	33	26.007330,8.796861 4.949546,12.253250 2.508879,13.604606 41.281409,11.405399 51.963225,11.002496	6.406849	m	r	6.288019	1	3.749594	-5.022543	106428	490	5afe2bf57534d2b3
40	40	31.302572,13.293621 34.109339,2.740702 6.425022,30.958507 9.603869,14.980232 28.084704,27.229534	2.021119	b	r	9.868815	1	4.383938	4.274053	33068	234	193872b23303be25
56	33	18.116791,14.322163 36.946756,13.113895 3.775740,15.732560 18.062868,26.851456 52.881807,29.710523	6.358064	r	r	6.772904	0	2.218741,4.429380	-0.614690	129743	610	5694f7b1c41bad74
24	48	7.170865,43.190165 16.780084,34.969028 15.411997,39.273170 3.994584,24.181193 20.328362,19.370320 21.112546,9.524068 21.519604,12.817987 14.109978,31.380454	7.426615	m	b	2.238337	1	3.967296,4.333458,1.587587	11.982204	82602	446	91827c19df45c8a1
40	40	12.390845,7.159715 4.900194,24.264999 15.781995,16.250966 19.628518,32.108182 13.472778,15.964639 22.788402,31.118835 26.509447,6.724819 30.278035,30.284405	4.461689	b	b	5.401740	1	4.799987	10.051641	77267	424	9be3388cbf2ba8f4
40	40	30.248126,29.067809 24.733570,36.332700 4.820949,7.170717 28.141120,17.735831 24.814790,25.125344 8.265221,26.004186	3.868786	m	r	1.956123	1	4.443692,0.871831	-0.629779	96416	469	0ffeee6ef40a81ab
56	33	41.907042,11.495638 39.144361,29.190163 20.480995,3.602864 37.550291,7.240071 6.594508,6.597263 39.824562,5.298948 43.501628,26.079361 48.964523,17.947983	4.314600	r	b	11.043595	1	0.831101,3.548039,2.652653	7.876689	76945	472	71da51d3af9c2eb4
40	40	32.861311,21.866217 16.876924,19.091367 36.726369,26.394591 4.222108,16.757628 31.965159,17.745341	6.747983	r	b	9.438535	0	3.285429	3.631112	69328	357	785a27c036240231
56	33	33.978369,3.018708 27.343417,21.443544 48.899552,19.029110 13.506506,13.105376	4.137957	b	s	2.215647	1	3.600916,0.849609,3.123228	13.031323	92410	431	cdb46e08dda4ef75
56	33	3.447795,20.609306 6.454554,10.538142 4.326893,4.940410 41.552315,20.975635 5.317337,21.696268 31.658613,20.542643	6.186973	m	r	11.253349	0	4.058167,1.946245	13.501808	141330	641	5b8645f3e5cc9bdb
56	33	18.083141,10.416407 8.236406,27.553135 31.515399,24.098896 46.417233,13.601921 11.060845,21.316994 43.318133,28.045300	6.221450	m	r	10.482275	1	3.633362,1.663418,3.017945	2.765679	186040	825	89858b3eb43d04bf
24	48	6.501853,36.117687 8.749366,27.365012 18.537746,24.420710 4.133394,5.585532 6.696495,32.969656 13.303170,10.067760 11.343416,17.876476 13.694639,28.407654	4.820473	m	b	2.514390	0	4.346132	5.287170	54566	293	3686b8a98c815651
24	48	13.207538,12.730918 10.071994,40.131294 15.766876,43.994553 11.221264,35.727999 3.194545,12.327464 4.994625,20.744414 13.427141,19.197757	5.870006	m	s	11.008280	0	2.778392,1.994120	5.041541	98739	440	d0a997321d14f156
56	33	20.881900,2.696411 50.964397,18.672757 14.061001,15.350861 38.179879,3.033672 47.182825,20.698312 29.883678,2.175550 8.785303,20.680509 44.570681,10.588793	7.283071	b	s	4.188381	0	3.951445	-1.974930	188886	807	50cb3d475c87a055
40	40	3.531302,12.630605 2.405753,9.474399 30.434747,13.985473 12.870374,4.976211 36.764430,29.673944 21.786519,4.072472 21.673995,36.673638 31.980504,6.402277	7.309440	r	r	4.316781	0	3.027412,4.198281	1.392620	187384	819	a0352f1a820a262b
56	33	32.896295,20.335016 30.603037,26.659970 35.154478,2.671008 3.969160,29.598473 50.201464,28.760781	3.847917	b	r	5.713616	1	2.324219,2.183047	5.429921	117432	589	06815828cca5dc8b
24	48	20.473676,26.032329 13.302868,14.245752 3.201375,5.455322 21.192158,42.226265 10.769659,25.153415 9.422585,32.226082 5.057688,21.453118 13.477587,9.024601	6.831527	m	b	9.932934	0	2.397748,0.954242,1.522565	9.833831	108557	605	c2e51bec5a2aba5e
40	40	4.547429,35.824140 25.554010,7.050506 30.945884,4.393075 2.004330,37.191320	3.447745	m	r	2.795703	0	3.914157	4.520032	46133	246	7e62cc3b3e794e34
40	40	8.118658,10.030681 32.723965,3.449221 16.398558,25.310063 20.312735,20.304727 7.487783,17.564198 23.759395,23.778120 15.318858,3.726227	3.948614	b	s	2.925798	0	1.016011	13.399201	94053	431	8ed23d110b9c0888
56	33	14.426168,7.780417 3.146712,5.125636 31.903184,18.274836 3.318953,14.653026 9.070127,3.799260 16.419494,28.498473 22.471681,9.216628 49.755287,18.143008	2.525576	b	s	7.703035	1	1.888908,4.546600	0.967908	74779	447	ab3f4d8046c7c5e4
56	33	30.993414,5.346616 37.575449,25.359549 34.557297,30.218430 16.835459,5.911990 44.704028,7.667286 40.999207,27.671973 46.383657,24.331735	1.831080	b	b	9.182035	1	4.322157,3.058691	-1.611845	36322	285	efe2824983bddc41
24	48	12.565672,6.808474 21.884813,29.537094 3.680618,16.861219 11.506337,3.082283 15.941829,2.370755 10.360873,33.385882 3.692157,30.789467	6.515743	r	b	3.554949	0	4.308407,2.657459,1.559955	2.777492	79196	461	9c48751a31353055
40	40	10.345933,30.290520 4.860754,31.896980 33.263048,7.970809 7.311117,16.236996	2.058894	m	b	2.308354	1	2.397172	0.943956	22051	191	1ac6ec171cd03cd4
56	33	42.704229,8.524059 45.419878,22.250693 27.959418,30.663017 45.360645,19.147206 5.312312,28.248221 45.416111,30.048170 5.683590,11.916850	6.268807	b	s	7.727304	1	1.381031	1.764020	245672	1023	dafb99eb9d972eed
24	48	7.267292,4.377519 20.544939,14.188922 5.426510,17.162755 17.869589,34.382050 15.444318,21.242963 10.970638,39.271512 6.720752,43.034455	4.025302	m	r	9.827942	0	3.538389	11.363390	81130	419	ccb34fb8326bc359
40	40	20.703561,35.957184 12.214443,34.093117 21.231127,7.073819 12.046594,17.385384 35.573056,12.030329	1.676425	b	b	4.603832	0	2.134472	1.571097	15604	152	896be9352a02bb6f
56	33	9.954773,10.055188 51.174232,23.850380 4.338650,17.139112 9.673704,26.727861 49.628794,24.267738 26.816698,3.776330	6.480702	m	s	4.375653	1	3.242998,3.432322	-3.797497	252681	1089	b275822da6ea1198
56	33	16.071019,12.249880 49.352259,3.137543 36.621914,23.826922 49.166866,7.068113	5.968427	b	r	10.309808	1	2.765292,4.081917	2.763112	103454	485	e79c8ef9edc48837
24	48	4.905952,7.403610 21.478303,39.611111 15.730425,29.394054 2.695572,12.287698 19.648918,26.971858	2.775636	r	b	7.355318	1	3.308958,3.820527,2.295486	6.275494	34861	220	9016e8c8b9112256
24	48	5.705818,16.411113 10.659698,3.682402 19.427602,22.461509 18.994007,32.754311 6.273219,7.397346 2.383899,39.459596	5.236395	r	r	7.008998	1	3.870309,4.057362,2.579111	8.578821	117019	535	cfc072c30ef1386e
40	40	34.827201,13.679475 12.647645,13.851967 28.857187,36.323494 15.177514,26.771671 3.809885,5.732928	5.716053	r	s	6.287227	0	4.729962,2.722537	-5.337525	128411	591	69b8b0b585d20008
40	40	21.470208,16.411367 18.655819,35.876459 23.399264,20.724657 23.662483,29.584193 35.900041,21.011823 27.330485,30.250028 37.853445,18.916347	5.966976	m	b	6.719387	1	4.075468,2.791189,2.223809	2.149290	71210	377	f09bd974543b9861
56	33	39.172437,14.055261 10.576379,19.542175 2.350013,14.656504 22.559476,29.323344 48.946603,26.795007 29.154522,17.825434 29.287598,21.478039 48.521927,7.854907	2.823417	r	s	7.932639	1	2.494665	-4.079160	91620	485	a701a0d950fcc405
40	40	25.916016,2.762117 12.527463,9.052676 31.618313,2.393278 11.342715,5.604026 34.206261,9.751169	7.373394	m	r	2.204226	0	1.086109,3.805007	5.495710	73483	328	d03c88db2ec1c43a
24	48	9.733823,29.596847 3.517073,6.041647 2.070687,3.621182 19.453065,5.775066 16.030105,23.788250 2.321830,40.617398 20.254085,34.593131	1.954822	b	s	5.139223	1	2.554544,4.784805	-3.159616	34203	265	953eb9968c20a98a
40	40	29.854594,5.232534 5.600601,23.587565 30.425492,24.705171 23.270935,28.192388 27.608228,5.656358 9.266025,22.620138 21.688987,29.012737	5.057462	b	s	9.223051	0	4.180597,2.642349	-3.132583	108042	492	344a1e99f3ab12a7
56	33	16.981714,17.095207 18.444167,16.948167 23.262539,14.387932 53.053798,30.373052 30.672373,28.071266	3.886581	b	s	7.990233	1	4.157622,1.058834	6.173159	81640	395	74d9979f48cf82e7
40	40	21.685635,37.279862 26.643319,24.214370 33.336179,26.821691 14.694928,24.079077 21.286356,29.349044 24.911118,18.538646 11.268140,20.314492	4.144190	b	r	10.974043	1	3.275248	8.287939	69646	338	095ac38b5f31a06b
24	48	8.231961,17.121722 17.320229,13.133921 15.644669,21.356403 10.449892,20.490080 10.056427,22.548670 7.085754,44.605854 21.686063,31.385500	4.994307	b	s	11.219316	1	4.393886,2.343077,4.681879	-0.139005	95987	450	e8ec6f8fc5b89ed4
56	33	26.979624,8.057389 53.120122,24.316807 17.678312,27.069240 13.785383,6.863742 36.456143,22.527504 42.756920,28.685557	2.815608	r	b	2.855849	1	1.262509,4.528484	0.954355	23316	239	ae829fd39f3e0c6f
24	48	9.194668,2.937509 20.596459,43.668893 12.670110,18.847928 17.487031,14.231754 7.774174,24.468316 12.868633,43.841717 2.200770,16.357899 4.709782,18.962119	2.334135	m	r	3.088226	1	4.711003,2.041648,2.595412	12.787305	58517	350	aa4f93ad4ae46554
